Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.25      3.93     0.01       61     0.00     0.00  Branch::transform(glm::mat<4, 4, float, (glm::qualifier)0>&, float)
  0.25      3.94     0.01       51     0.00     0.00  GETreeGenerator::remove_branches(GETreeGenerator::Tree&, GETreeGenerator::Branch&, GETreeParameters&, LightVoxelsCube&)
  0.25      3.95     0.01       36     0.00     0.00  GrassGenerator::generate_grass_in_cell(Cell&, Field_2d*)
  0.25      3.96     0.01        5     0.00     0.00  GrovePacker::recalculate_nodes(ClusterData&)
  0.25      3.97     0.01        4     0.00     0.00  void std::vector<GenerationJob*, std::allocator<GenerationJob*> >::_M_realloc_insert<GenerationJob*>(__gnu_cxx::__normal_iterator<GenerationJob**, std::vector<GenerationJob*, std::allocator<GenerationJob*> > >, GenerationJob*&&)
  0.25      3.98     0.01        2     0.01     0.12  stbi_write_png_to_mem
  0.25      3.99     0.01                             std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, AllocData, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, AllocData> > >::~map()
  0.00      3.99     0.00  9917919     0.00     0.00  std::_Function_base::_Base_manager<GETreeGenerator::SpaceColonizationData::find_best_pos(LightVoxelsCube&, float, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, float, glm::vec<3, float, (glm::qualifier)0>&, float&)::{lambda(glm::vec<3, float, (glm::qualifier)0>&)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<GETreeGenerator::SpaceColonizationData::find_best_pos(LightVoxelsCube&, float, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, float, glm::vec<3, float, (glm::qualifier)0>&, float&)::{lambda(glm::vec<3, float, (glm::qualifier)0>&)#1}> const&, std::_Manager_operation)
  0.00      3.99     0.00  4834176     0.00     0.00  unsigned int& std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00      3.99     0.00  1256682     0.00     0.00  Octree::Node::insert(glm::vec<3, float, (glm::qualifier)0>&)
  0.00      3.99     0.00   379920     0.00     0.00  LightVoxelsCube::get_occlusion_simple(glm::vec<3, float, (glm::qualifier)0>)
  0.00      3.99     0.00   349753     0.00     0.00  Normal::get()
  0.00      3.99     0.00   328234     0.00     0.00  Field_2d::get(int, int)
  0.00      3.99     0.00   184689     0.00     0.00  Visualizer::get_base_ring(Segment&, SegmentVertexes&, int, float, float)
  0.00      3.99     0.00   180625     0.00     0.00  Heightmap::get_height_simple(glm::vec<3, float, (glm::qualifier)0>)
  0.00      3.99     0.00   132418     0.00     0.00  std::vector<VertexData, std::allocator<VertexData> >::operator=(std::vector<VertexData, std::allocator<VertexData> > const&)
  0.00      3.99     0.00    84757     0.00     0.00  Visualizer::leaf_to_model(Leaf&, Model*, float)
  0.00      3.99     0.00    52271     0.00     0.00  Visualizer::get_last_seg_vertexes(Segment&, SegmentVertexes&, int, float, float)
  0.00      3.99     0.00    41408     0.00     0.00  std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >::operator=(std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > const&)
  0.00      3.99     0.00    28944     0.00     0.00  AABB2D::intersects(Sphere2D&)
  0.00      3.99     0.00    27898     0.00     0.00  void std::vector<std::pair<GETreeGenerator::Joint*, float>, std::allocator<std::pair<GETreeGenerator::Joint*, float> > >::_M_realloc_insert<std::pair<GETreeGenerator::Joint*, float> >(__gnu_cxx::__normal_iterator<std::pair<GETreeGenerator::Joint*, float>*, std::vector<std::pair<GETreeGenerator::Joint*, float>, std::allocator<std::pair<GETreeGenerator::Joint*, float> > > >, std::pair<GETreeGenerator::Joint*, float>&&)
  0.00      3.99     0.00    26101     0.00     0.00  std::_Function_handler<float (glm::vec<2, float, (glm::qualifier)0>&), GenerationJob::generate()::{lambda(glm::vec<2, float, (glm::qualifier)0>&)#1}>::_M_invoke(std::_Any_data const&, glm::vec<2, float, (glm::qualifier)0>&)
  0.00      3.99     0.00    22074     0.00     0.00  void std::__cxx11::list<GETreeGenerator::Branch, std::allocator<GETreeGenerator::Branch> >::_M_assign_dispatch<GETreeGenerator::Branch const*>(GETreeGenerator::Branch const*, GETreeGenerator::Branch const*, std::__false_type)
  0.00      3.99     0.00    19864     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00      3.99     0.00    18700     0.00     0.00  GETreeGenerator::add_SPCol_points_solid_angle(glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, float, int, float, GETreeGenerator::SpaceColonizationData&)
  0.00      3.99     0.00    18506     0.00     0.00  GETreeGenerator::SpaceColonizationData::find_best_pos(LightVoxelsCube&, float, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, float, glm::vec<3, float, (glm::qualifier)0>&, float&)
  0.00      3.99     0.00    14222     0.00     0.00  std::__cxx11::_List_base<GETreeGenerator::Joint, std::allocator<GETreeGenerator::Joint> >::_M_clear()
  0.00      3.99     0.00     9179     0.00     0.00  std::_Function_handler<float (glm::vec<2, float, (glm::qualifier)0>&), GenerationJob::remove_unused_borders()::{lambda(glm::vec<2, float, (glm::qualifier)0>&)#1}>::_M_invoke(std::_Any_data const&, glm::vec<2, float, (glm::qualifier)0>&)
  0.00      3.99     0.00     8794     0.00     0.00  void std::vector<std::_List_iterator<Joint>, std::allocator<std::_List_iterator<Joint> > >::_M_realloc_insert<std::_List_iterator<Joint> const&>(__gnu_cxx::__normal_iterator<std::_List_iterator<Joint>*, std::vector<std::_List_iterator<Joint>, std::allocator<std::_List_iterator<Joint> > > >, std::_List_iterator<Joint> const&)
  0.00      3.99     0.00     7575     0.00     0.00  void std::__cxx11::list<GETreeGenerator::Joint, std::allocator<GETreeGenerator::Joint> >::_M_assign_dispatch<GETreeGenerator::Joint const*>(GETreeGenerator::Joint const*, GETreeGenerator::Joint const*, std::__false_type)
  0.00      3.99     0.00     6292     0.00     0.00  LightVoxelsCube::get_occlusion_projection(glm::vec<3, float, (glm::qualifier)0>)
  0.00      3.99     0.00     3838     0.00     0.00  std::_Function_base::_Base_manager<BillboardCloudRaw::create_billboard(TreeTypeData&, Branch*, BBox&, Visualizer&, int, Billboard&, TextureAtlas&, BillboardCloudRaw::BillboardGenerationParams)::{lambda(Model*)#2}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<BillboardCloudRaw::create_billboard(TreeTypeData&, Branch*, BBox&, Visualizer&, int, Billboard&, TextureAtlas&, BillboardCloudRaw::BillboardGenerationParams)::{lambda(Model*)#2}> const&, std::_Manager_operation)
  0.00      3.99     0.00     3721     0.00     0.00  Field_2d::set(int, int, float)
  0.00      3.99     0.00     3240     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&, glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.00      3.99     0.00     3039     0.00     0.00  debugl(unsigned int, char const*, ...)
  0.00      3.99     0.00     2999     0.00     0.00  void std::__cxx11::list<Joint, std::allocator<Joint> >::_M_assign_dispatch<std::_List_const_iterator<Joint> >(std::_List_const_iterator<Joint>, std::_List_const_iterator<Joint>, std::__false_type)
  0.00      3.99     0.00     2415     0.00     0.00  std::_Function_base::_Base_manager<mipmap(Texture, int, int, int)::{lambda(Model*)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<mipmap(Texture, int, int, int)::{lambda(Model*)#1}> const&, std::_Manager_operation)
  0.00      3.99     0.00     2394     0.00     0.00  Shader::texture(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Texture const&)
  0.00      3.99     0.00     2392     0.00     0.00  std::_Function_base::_Base_manager<TextureAtlas::gen_mipmaps(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)::{lambda(Model*)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<TextureAtlas::gen_mipmaps(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)::{lambda(Model*)#1}> const&, std::_Manager_operation)
  0.00      3.99     0.00     2284     0.00     0.00  void std::__cxx11::list<Segment, std::allocator<Segment> >::_M_assign_dispatch<std::_List_const_iterator<Segment> >(std::_List_const_iterator<Segment>, std::_List_const_iterator<Segment>, std::__false_type)
  0.00      3.99     0.00     2170     0.00     0.00  Texture::~Texture()
  0.00      3.99     0.00     2034     0.00     0.00  Shader::use()
  0.00      3.99     0.00     1854     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_insert_aux(std::_Bit_iterator, bool)
  0.00      3.99     0.00     1768     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare(char const*) const
  0.00      3.99     0.00     1731     0.00     0.00  void std::vector<PackedLeaf, std::allocator<PackedLeaf> >::_M_realloc_insert<PackedLeaf const&>(__gnu_cxx::__normal_iterator<PackedLeaf*, std::vector<PackedLeaf, std::allocator<PackedLeaf> > >, PackedLeaf const&)
  0.00      3.99     0.00     1731     0.00     0.00  void std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_realloc_insert<std::vector<float, std::allocator<float> > const&>(__gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >, std::vector<float, std::allocator<float> > const&)
  0.00      3.99     0.00     1458     0.00     0.00  void std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >::_M_realloc_insert<glm::vec<3, float, (glm::qualifier)0> const&>(__gnu_cxx::__normal_iterator<glm::vec<3, float, (glm::qualifier)0>*, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > >, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      3.99     0.00     1411     0.00     0.00  glm::detail::compute_inverse<4, 4, float, (glm::qualifier)0, false>::call(glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.00      3.99     0.00     1379     0.00     0.00  std::_Function_handler<float (glm::vec<2, float, (glm::qualifier)0>&), Planter::get_saplings()::{lambda(glm::vec<2, float, (glm::qualifier)0>&)#1}>::_M_invoke(std::_Any_data const&, glm::vec<2, float, (glm::qualifier)0>&)
  0.00      3.99     0.00     1374     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>& std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >::emplace_back<glm::vec<3, float, (glm::qualifier)0> >(glm::vec<3, float, (glm::qualifier)0>&&)
  0.00      3.99     0.00     1373     0.00     0.00  BranchCatalogue::add(PackedBranch&, int)
  0.00      3.99     0.00     1373     0.00     0.00  Branch::pack(PackedBranch&)
  0.00      3.99     0.00     1300     0.00     0.00  Texture::Texture(Texture const&)
  0.00      3.99     0.00     1257     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int const&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      3.99     0.00     1226     0.00     0.00  BillboardCloudRaw::BPD_comp(BillboardCloudRaw::BranchProjectionData&, BillboardCloudRaw::BranchProjectionData&)
  0.00      3.99     0.00     1184     0.00     0.00  std::_Function_handler<void (Model*), TextureAtlas::gen_mipmaps(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)::{lambda(Model*)#1}>::_M_invoke(std::_Any_data const&, Model*&&)
  0.00      3.99     0.00     1080     0.00     0.00  std::_Function_base::_Base_manager<BillboardCloudRaw::create_billboard(TreeTypeData&, Branch*, BBox&, Visualizer&, int, Billboard&, TextureAtlas&, BillboardCloudRaw::BillboardGenerationParams)::{lambda(Model*)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<BillboardCloudRaw::create_billboard(TreeTypeData&, Branch*, BBox&, Visualizer&, int, Billboard&, TextureAtlas&, BillboardCloudRaw::BillboardGenerationParams)::{lambda(Model*)#1}> const&, std::_Manager_operation)
  0.00      3.99     0.00      978     0.00     0.00  next_token[abi:cxx11](char const*, int&)
  0.00      3.99     0.00      950     0.00     0.00  Cluster::ward_dist(Cluster*, float, float) [clone .constprop.157]
  0.00      3.99     0.00      853     0.00     0.00  Texture::Texture()
  0.00      3.99     0.00      847     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<Cluster* const, DistData> >, bool> std::_Rb_tree<Cluster*, std::pair<Cluster* const, DistData>, std::_Select1st<std::pair<Cluster* const, DistData> >, std::less<Cluster*>, std::allocator<std::pair<Cluster* const, DistData> > >::_M_emplace_unique<Cluster*&, DistData&>(Cluster*&, DistData&)
  0.00      3.99     0.00      840     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<unsigned int const, Texture> >, bool> std::_Rb_tree<unsigned int, std::pair<unsigned int const, Texture>, std::_Select1st<std::pair<unsigned int const, Texture> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, Texture> > >::_M_emplace_unique<unsigned int&, Texture&>(unsigned int&, Texture&)
  0.00      3.99     0.00      824     0.00     0.00  Texture::Texture(int, int, bool, int)
  0.00      3.99     0.00      788     0.00     0.00  Block::get_double(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, double)
  0.00      3.99     0.00      782     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<Cluster* const, DistData> >, bool> std::_Rb_tree<Cluster*, std::pair<Cluster* const, DistData>, std::_Select1st<std::pair<Cluster* const, DistData> >, std::less<Cluster*>, std::allocator<std::pair<Cluster* const, DistData> > >::_M_emplace_unique<Cluster*&, float&>(Cluster*&, float&)
  0.00      3.99     0.00      725     0.00     0.00  Countable::~Countable()
  0.00      3.99     0.00      718     0.00     0.00  PackedJoint& std::vector<PackedJoint, std::allocator<PackedJoint> >::emplace_back<PackedJoint>(PackedJoint&&)
  0.00      3.99     0.00      705     0.00     0.00  Countable::Countable(int)
  0.00      3.99     0.00      604     0.00     0.00  TextureManager::delete_tex(Texture&)
  0.00      3.99     0.00      592     0.00     0.00  TextureManager::create_unnamed(int, int, bool, int)
  0.00      3.99     0.00      578     0.00     0.00  Block::get_int(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int)
  0.00      3.99     0.00      569     0.00     0.00  GETreeGenerator::recalculate_radii(GETreeGenerator::Tree&, GETreeGenerator::Branch&, GETreeParameters&)
  0.00      3.99     0.00      477     0.00     0.00  void std::vector<GETreeGenerator::GrowPoint, std::allocator<GETreeGenerator::GrowPoint> >::_M_realloc_insert<GETreeGenerator::GrowPoint>(__gnu_cxx::__normal_iterator<GETreeGenerator::GrowPoint*, std::vector<GETreeGenerator::GrowPoint, std::allocator<GETreeGenerator::GrowPoint> > >, GETreeGenerator::GrowPoint&&)
  0.00      3.99     0.00      464     0.00     0.00  std::_Function_handler<void (Model*), mipmap(Texture, int, int, int)::{lambda(Model*)#1}>::_M_invoke(std::_Any_data const&, Model*&&)
  0.00      3.99     0.00      464     0.00     0.00  void std::vector<Billboard, std::allocator<Billboard> >::_M_realloc_insert<Billboard const&>(__gnu_cxx::__normal_iterator<Billboard*, std::vector<Billboard, std::allocator<Billboard> > >, Billboard const&)
  0.00      3.99     0.00      458     0.00     0.00  Billboard::Billboard(BBox const&, int, int, int, glm::vec<3, float, (glm::qualifier)0>, bool)
  0.00      3.99     0.00      457     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      3.99     0.00      444     0.00     0.00  Normal::Normal(double, double, int)
  0.00      3.99     0.00      428     0.00     0.00  Shader::addProgram(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
  0.00      3.99     0.00      428     0.00     0.00  Shader::readGLSLFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int&)
  0.00      3.99     0.00      370     0.00     0.00  TextureAtlas::add_tex()
  0.00      3.99     0.00      365     0.00     0.00  GETreeGenerator::set_occlusion(GETreeGenerator::Branch&, LightVoxelsCube&, GETreeParameters&, float)
  0.00      3.99     0.00      360     0.00     0.00  TextureAtlas::target(int, int)
  0.00      3.99     0.00      360     0.00     0.00  BillboardCloudRaw::create_billboard(TreeTypeData&, Branch*, BBox&, Visualizer&, int, Billboard&, TextureAtlas&, BillboardCloudRaw::BillboardGenerationParams)
  0.00      3.99     0.00      360     0.00     0.00  TextureAtlas::tex_transform(int) const
  0.00      3.99     0.00      360     0.00     0.00  std::_Function_handler<void (Model*), BillboardCloudRaw::create_billboard(TreeTypeData&, Branch*, BBox&, Visualizer&, int, Billboard&, TextureAtlas&, BillboardCloudRaw::BillboardGenerationParams)::{lambda(Model*)#2}>::_M_invoke(std::_Any_data const&, Model*&&)
  0.00      3.99     0.00      360     0.00     0.00  std::_Function_handler<void (Model*), BillboardCloudRaw::create_billboard(TreeTypeData&, Branch*, BBox&, Visualizer&, int, Billboard&, TextureAtlas&, BillboardCloudRaw::BillboardGenerationParams)::{lambda(Model*)#1}>::_M_invoke(std::_Any_data const&, Model*&&)
  0.00      3.99     0.00      344     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      3.99     0.00      244     0.00     0.00  TextureAtlas::pixel_offsets(int, glm::vec<4, unsigned int, (glm::qualifier)0>&) const
  0.00      3.99     0.00      244     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      3.99     0.00      217     0.00     0.00  Shader::link()
  0.00      3.99     0.00      217     0.00     0.00  Shader::setup(std::initializer_list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >)
  0.00      3.99     0.00      184     0.00     0.00  TextureAtlas::remove_tex(int)
  0.00      3.99     0.00      182     0.00     0.00  read_value(char const*, int&, Block::Value&)
  0.00      3.99     0.00      175     0.00     0.00  Octree::Node::clear()
  0.00      3.99     0.00      168     0.00     0.00  std::_Rb_tree<Cluster*, std::pair<Cluster* const, DistData>, std::_Select1st<std::pair<Cluster* const, DistData> >, std::less<Cluster*>, std::allocator<std::pair<Cluster* const, DistData> > >::_M_erase(std::_Rb_tree_node<std::pair<Cluster* const, DistData> >*)
  0.00      3.99     0.00      162     0.00     0.00  TextureManager::get(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      3.99     0.00      149     0.00     0.00  TextureManager::empty()
  0.00      3.99     0.00      137     0.00     0.00  std::_Function_handler<void (), parser::base_init()::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  0.00      3.99     0.00      136     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&)
  0.00      3.99     0.00      134     0.00     0.00  ImpostorSimilarityParams::load_from_block(Block*)
  0.00      3.99     0.00      134     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      3.99     0.00      122     0.00     0.00  BillboardCloudRaw::get_bbox(Branch*, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>)
  0.00      3.99     0.00      122     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>& std::vector<glm::mat<4, 4, float, (glm::qualifier)0>, std::allocator<glm::mat<4, 4, float, (glm::qualifier)0> > >::emplace_back<glm::mat<4, 4, float, (glm::qualifier)0> >(glm::mat<4, 4, float, (glm::qualifier)0>&&)
  0.00      3.99     0.00      122     0.00     0.00  void std::vector<BranchClusteringData*, std::allocator<BranchClusteringData*> >::_M_realloc_insert<BranchClusteringData*>(__gnu_cxx::__normal_iterator<BranchClusteringData**, std::vector<BranchClusteringData*, std::allocator<BranchClusteringData*> > >, BranchClusteringData*&&)
  0.00      3.99     0.00      122     0.00     0.00  void std::vector<Branch*, std::allocator<Branch*> >::_M_realloc_insert<Branch*>(__gnu_cxx::__normal_iterator<Branch**, std::vector<Branch*, std::allocator<Branch*> > >, Branch*&&)
  0.00      3.99     0.00      111     0.00     0.00  center_of_mass(Branch*, glm::vec<3, float, (glm::qualifier)0>&, double&)
  0.00      3.99     0.00      111     0.00     0.00  BillboardCloudRaw::get_minimal_bbox_fixed_dirs(Branch*)
  0.00      3.99     0.00      104     0.00     0.00  void std::vector<Normal*, std::allocator<Normal*> >::_M_realloc_insert<Normal*>(__gnu_cxx::__normal_iterator<Normal**, std::vector<Normal*, std::allocator<Normal*> > >, Normal*&&)
  0.00      3.99     0.00      100     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      3.99     0.00       88     0.00     0.00  get_default_block()
  0.00      3.99     0.00       88     0.00     0.00  load_default_blocks()
  0.00      3.99     0.00       83     0.00     0.00  void std::vector<SJoint, std::allocator<SJoint> >::_M_realloc_insert<SJoint>(__gnu_cxx::__normal_iterator<SJoint*, std::vector<SJoint, std::allocator<SJoint> > >, SJoint&&)
  0.00      3.99     0.00       82     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&) [clone .constprop.373]
  0.00      3.99     0.00       80     0.00     0.00  void std::vector<BillboardCloudRaw::BranchProjectionData, std::allocator<BillboardCloudRaw::BranchProjectionData> >::_M_realloc_insert<BillboardCloudRaw::BranchProjectionData>(__gnu_cxx::__normal_iterator<BillboardCloudRaw::BranchProjectionData*, std::vector<BillboardCloudRaw::BranchProjectionData, std::allocator<BillboardCloudRaw::BranchProjectionData> > >, BillboardCloudRaw::BranchProjectionData&&)
  0.00      3.99     0.00       72     0.00     0.00  GETreeParameters::get_tree_max_size()
  0.00      3.99     0.00       71     0.00     0.00  BillboardCloudRaw::BillboardCloudRaw()
  0.00      3.99     0.00       71     0.00     0.00  BillboardCloudRaw::~BillboardCloudRaw()
  0.00      3.99     0.00       69     0.00     0.00  Octree::Octree()
